,entity,CIK,Full_CIK,ticker
3308,"MARTEN TRANSPORT, LTD",799167,CIK0000799167,MRTN
3309,Vertical Aerospace Ltd.,0001867102,CIK0001867102,EVTL
3310,MAQUIA CAPITAL ACQUISITION CORPORATION,1844419,CIK0001844419,MAQCW
3311,"OMNIAB, INC.",1846253,CIK0001846253,AHPAW
3312,American Airlines Group Inc.,6201,CIK0000006201,AAL
3313,John Bean Technologies Corporation,1433660,CIK0001433660,JBT
3314,"SURGE COMPONENTS, INC.",747540,CIK0000747540,SPRS
3315,"Beyond Commerce, Inc.",1386049,CIK0001386049,BYOC
3316,FORTRESS VALUE ACQUISITION CORP. IV,1828183,CIK0001828183,FVIV
3317,Momentus Inc.,1781162,CIK0001781162,MNTSW
3318,Medtronic plc,1613103,CIK0001613103,MDT
3319,,0001338561,CIK0001338561,SPXX
3320,"ENERGY VAULT HOLDINGS, INC.",1828536,CIK0001828536,NRGV
3321,"DUPONT DE NEMOURS, INC.",1666700,CIK0001666700,DD
3322,NUNZIA PHARMACEUTICAL COMPANY,886093,CIK0000886093,NUNZ
3323,"EAGLE FINANCIAL BANCORP, INC.",1699018,CIK0001699018,EFBI
3324,"Vivint Smart Home, Inc.",1713952,CIK0001713952,VVNT
3325,,0001495825,CIK0001495825,GBAB
3326,DATA I/O CORPORATION,351998,CIK0000351998,DAIO
3327,"VELODYNE LIDAR, INC.",1745317,CIK0001745317,VLDRW
3328,PHOENIX LIFE SCIENCES INTERNATIONAL LIMITED.,1493212,CIK0001493212,PLSI
3329,MIDCAP FINANCIAL INVESTMENT CORPORATION,0001278752,CIK0001278752,MFIC
3330,GALMED PHARMACEUTICALS LTD.,1595353,CIK0001595353,GLMD
3331,GOLIATH FILM AND MEDIA HOLDINGS,820771,CIK0000820771,GFMH
3332,"Sana Biotechnology, Inc.",1770121,CIK0001770121,SANA
3333,"89bio, Inc.",1785173,CIK0001785173,ETNB
3334,Good Times Restaurants Inc.,825324,CIK0000825324,GTIM
3335,PERMIAN RESOURCES CORPORATION,1658566,CIK0001658566,CDEV
3336,"FG Financial Group, Inc.",1591890,CIK0001591890,FGFPP
3337,"Insperity, Inc.",1000753,CIK0001000753,NSP
3338,"MEDICAL PROPERTIES TRUST, INC.",1287865,CIK0001287865,MPW
3339,"Post Holdings, Inc.",1530950,CIK0001530950,POST
3340,"WisdomTree, Inc.",880631,CIK0000880631,WETF
3341,"CORE MOLDING TECHNOLOGIES, INC.",1026655,CIK0001026655,CMT
3342,"ASTRA ENERGY, INC.",0001231339,CIK0001231339,ASRE
3343,"PhaseBio Pharmaceuticals, Inc.",1169245,CIK0001169245,PHAS
3344,RESTAURANT BRANDS INTERNATIONAL LIMITED PARTNERSHIP,1618755,CIK0001618755,RSTRF
3345,Ellomay Capital Ltd.,946394,CIK0000946394,ELLO
3346,Star Gold Corp.,1401835,CIK0001401835,SRGZ
3347,"DIGITAL     LOCATIONS, INC.",1407878,CIK0001407878,DLOC
3348,"COURSERA, INC.",1651562,CIK0001651562,COUR
3349,NORTHERN REVIVAL ACQUISITION CORPORATION,1831964,CIK0001831964,NRACW
3350,Nymox Pharmaceutical Corporation,1018735,CIK0001018735,NYMX
3351,Visionary Education Technology Holdings Group Inc.,0001892274,CIK0001892274,VEDU
3352,FRONTLINE PLC,913290,CIK0000913290,FRO
3353,JIALIJIA GROUP CORPORATION LIMITED,1659559,CIK0001659559,RZZN
3354,Chindata Group Holdings Limited,1807192,CIK0001807192,CD
3355,VALVOLINE INC.,1674910,CIK0001674910,VVV
3356,"TPG RE Finance Trust, Inc.",1630472,CIK0001630472,TRTX
3357,GLADSTONE INVESTMENT CORPORATION\DE,0001321741,CIK0001321741,GAINZ
3358,"Assisted 4 Living, Inc.",1719435,CIK0001719435,ASSF
3359,EQONEX LIMITED,0001790515,CIK0001790515,EQOS
3360,"ABCO ENERGY, INC.",1300938,CIK0001300938,ABCE
3361,Avricore Health Inc.,1355736,CIK0001355736,AVCRF
3362,"RingCentral, Inc.",1384905,CIK0001384905,RNG
3363,"Troika Media Group, Inc.",1021096,CIK0001021096,TRKAW
3364,Perrigo Company plc,1585364,CIK0001585364,PRGO
3365,"HAWKEYE SYSTEMS, INC.",1750777,CIK0001750777,HWKE
3366,BARFRESH FOOD GROUP INC.,1487197,CIK0001487197,BRFH
3367,HURON CONSULTING GROUP INC.,1289848,CIK0001289848,HURN
3368,"Mexican Economic Development, Inc.",1061736,CIK0001061736,FMX
3369,Rattler Midstream LP,1748773,CIK0001748773,RTLR
3370,"AVALARA, INC.",1348036,CIK0001348036,AVLR
3371,THE CATO CORPORATION,18255,CIK0000018255,CATO
3372,FORTIS INC.,1666175,CIK0001666175,FTRSF
3373,TOOTSIE ROLL INDUSTRIES INC,98677,CIK0000098677,TROLB
3374,MINERALS TECHNOLOGIES INC.,891014,CIK0000891014,MTX
3375,"TREAN INSURANCE GROUP, INC.",1801754,CIK0001801754,TIG
3376,"AdTheorent Holding Company, Inc.",1838672,CIK0001838672,ADTHW
3377,Vale S.A.,917851,CIK0000917851,VALE
3378,"DXP Enterprises, Inc.",1020710,CIK0001020710,DXPE
3379,Amryt Pharma plc,1783010,CIK0001783010,AMYT
3380,Oshkosh Corporation,775158,CIK0000775158,OSK
3381,Silver North Resources Ltd.,1409036,CIK0001409036,TARSF
3382,Perpetua Resources Corp.,1526243,CIK0001526243,PPTA
3383,TENNANT CO,97134,CIK0000097134,TNC
3384,"NEWMARK GROUP, INC.",1690680,CIK0001690680,NMRK
3385,Establishment Labs Holdings Inc.,1688757,CIK0001688757,ESTA
3386,International General Insurance Holdings Ltd.,1794338,CIK0001794338,IGICW
3387,WESTERN ALLIANCE BANCORPORATION,1212545,CIK0001212545,WAL
3388,PINNACLE WEST CAPITAL CORPORATION,764622,CIK0000764622,PNW
3389,"ALTITUDE INTERNATIONAL HOLDINGS, INC.",1664127,CIK0001664127,ALTD
3390,AGBA GROUP HOLDING LIMITED,1769624,CIK0001769624,AGBAW
3391,"FINCH THERAPEUTICS GROUP, INC.",1733257,CIK0001733257,FNCH
3392,"ATLAS FINANCIAL HOLDINGS, INC.",1539894,CIK0001539894,AFHIF
3393,SARATOGA INVESTMENT CORP.,0001377936,CIK0001377936,SAT
3394,"THE BOSTON BEER COMPANY, INC.",949870,CIK0000949870,SAM
3395,ALAMO GROUP INC.,897077,CIK0000897077,ALG
3396,"SMART SAND, INC.",1529628,CIK0001529628,SND
3397,GLOBAL WHOLEHEALTH PARTNERS CORPORATION,1598308,CIK0001598308,GWHP
3398,"VIVEVE MEDICAL, INC.",879682,CIK0000879682,VIVE
3399,GSG GROUP INC.,1668523,CIK0001668523,GSGG
3400,AETERNA ZENTARIS INC.,1113423,CIK0001113423,AEZS
3401,"electroCore, Inc.",1560258,CIK0001560258,ECOR
3402,"SILVER BULL RESOURCES, INC.",1031093,CIK0001031093,SVBL
3403,ONCOSEC MEDICAL INCORPORATED,1444307,CIK0001444307,ONCS
3404,SP Plus Corporation,1059262,CIK0001059262,CRLKP
3405,"Texas Roadhouse, Inc.",1289460,CIK0001289460,TXRH
3406,CORSAIR PARTNERING CORP,1842659,CIK0001842659,CORS
3407,XCEL ENERGY INC,72903,CIK0000072903,XEL
3408,CELYAD ONCOLOGY SA,1637890,CIK0001637890,CYAD
3409,"BLACK DIAMOND THERAPEUTICS, INC.",1701541,CIK0001701541,BDTX
3410,"WEED, Inc.",1393772,CIK0001393772,BUDZ
3411,F&M BANK CORP.,740806,CIK0000740806,FMBM
3412,TELEDYNE TECHNOLOGIES INC,1094285,CIK0001094285,TDY
3413,Global-E Online Ltd.,0001835963,CIK0001835963,GLBE
3414,SUMMER ENERGY HOLDINGS INC,1396633,CIK0001396633,SUME
3415,Austerlitz Acquisition Corp I,1838207,CIK0001838207,AUS
3416,COLUMBIA SPORTSWEAR COMPANY,1050797,CIK0001050797,COLM
3417,BIOQUEST CORP.,1568628,CIK0001568628,BQST
3418,"Fortune Brands Innovations, Inc.",1519751,CIK0001519751,FBHS
3419,Flame Acquisition Corp.,1831481,CIK0001831481,FLME
3420,GOL Intelligent Airlines Inc.,1291733,CIK0001291733,GOL
3421,"Regenicin, Inc.",1412659,CIK0001412659,RGIN
3422,"Himax Technologies, Inc.",1342338,CIK0001342338,HIMX
3423,"AEGLEA BIOTHERAPEUTICS, INC.",1636282,CIK0001636282,AGLE
3424,"Bird Global, Inc.",1861449,CIK0001861449,BRDS
3425,,0001698508,CIK0001698508,IHTA
3426,Genesco Inc,18498,CIK0000018498,GCO
3427,"QUALYS, INC.",1107843,CIK0001107843,QLYS
3428,TRANSACT TECHNOLOGIES INC,1017303,CIK0001017303,TACT
3429,VERICEL CORPORATION,887359,CIK0000887359,VCEL
3430,SONY GROUP CORPORATION,313838,CIK0000313838,SNEJF
3431,MusclePharm Corporation,1415684,CIK0001415684,MSLP
3432,"STAR GROUP, L.P.",1002590,CIK0001002590,SGU
3433,ON4 COMMUNICATIONS INC.,1300867,CIK0001300867,ONCI
3434,BIOTRICITY INC.,1630113,CIK0001630113,BTCY
3435,"TRADE DESK, INC.",1671933,CIK0001671933,TTD
3436,"Southern First Bancshares, Inc.",1090009,CIK0001090009,SFST
3437,DHB CAPITAL CORP.,1838176,CIK0001838176,DHBCW
3438,WORKHORSE GROUP INC.,1425287,CIK0001425287,WKHS
3439,THE AES CORPORATION,874761,CIK0000874761,IPWLO
3440,"COPART, INC.",900075,CIK0000900075,CPRT
3441,Full Truck Alliance Co. Ltd.,0001838413,CIK0001838413,YMM
3442,"FIRST MID BANCSHARES, INC.",700565,CIK0000700565,FMBH
3443,"Innovative Designs, Inc.",1190370,CIK0001190370,IVDN
3444,"Radius Global Infrastructure, Inc.",1810739,CIK0001810739,RADI
3445,"JAGUAR HEALTH, INC.",1585608,CIK0001585608,JAGX
3446,Premier Financial Corp.,946647,CIK0000946647,PFC
3447,"INHIBIKASE THERAPEUTICS, INC.",1750149,CIK0001750149,IKT
3448,"Strawberry Fields REIT, Inc.",0001782430,CIK0001782430,STRW
3449,,0001515671,CIK0001515671,DPG
3450,CANON INC,16988,CIK0000016988,CAJFF
3451,"IO BIOTECH, INC.",1865494,CIK0001865494,IOBT
3452,"Tactile Systems Technology, Inc.",1027838,CIK0001027838,TCMD
3453,"GORES HOLDINGS IX, INC.",0001894630,CIK0001894630,GHIXW
3454,VELOCITY ACQUISITION CORP.,1832371,CIK0001832371,VELOW
3455,"U.S. STEM CELL, INC.",1388319,CIK0001388319,USRM
3456,two,1843988,CIK0001843988,TWOA
3457,CHINA ENTERPRISES LTD,908256,CIK0000908256,CSHEF
3458,SLAM CORP.,1838162,CIK0001838162,SLAMW
3459,EMERA INCORPORATED,1127248,CIK0001127248,EMRAF
3460,RCF ACQUISITION CORP.,0001870143,CIK0001870143,RCFA
3461,LIFEVANTAGE CORP,849146,CIK0000849146,LFVN
3462,Angi Inc.,1705110,CIK0001705110,ANGI
3463,TravelCenters of America Inc. /MD/,1378453,CIK0001378453,TANNL
3464,Boqii Holding Ltd,1815021,CIK0001815021,BQ
3465,Organon & Co.,1821825,CIK0001821825,OGN
3466,CHENGHE ACQUISITION CO.,0001856948,CIK0001856948,CHEAW
3467,NextNav Inc.,1865631,CIK0001865631,NNAVW
3468,Bank of Marin Bancorp,1403475,CIK0001403475,BMRC
3469,AURORA CANNABIS INC,1683541,CIK0001683541,ACB
3470,"VIKING ENERGY GROUP, INC.",1102432,CIK0001102432,VKIN
3471,"PDF SOLUTIONS, INC.",1120914,CIK0001120914,PDFS
3472,"GALERA THERAPEUTICS, INC.",1563577,CIK0001563577,GRTX
3473,Pony Group Inc.,1784058,CIK0001784058,PNYG
3474,"Royal Gold, Inc",85535,CIK0000085535,RGLD
3475,MCX TECHNOLOGIES CORPORATION,1535079,CIK0001535079,MCCX
3476,Luther Burbank Corp.,1475348,CIK0001475348,LBC
3477,PEARSON PLC,938323,CIK0000938323,PSORF
3478,RESOLUTE FOREST PRODUCTS INC.,1393066,CIK0001393066,RFP
3479,CHART INDUSTRIES INC,892553,CIK0000892553,GTLS
3480,"ESTRE AMBIENTAL, INC.",1716586,CIK0001716586,ESTWF
3481,PIPER SANDLER COMPANIES,1230245,CIK0001230245,PIPR
3482,"Groupon, Inc.",1490281,CIK0001490281,GRPN
3483,AMES NATIONAL CORPORATION,1132651,CIK0001132651,ATLO
3484,PETROTEQ ENERGY INC.,1561180,CIK0001561180,PQEFF
3485,"Itron, Inc.",780571,CIK0000780571,ITRI
3486,ALCOA CORP,1675149,CIK0001675149,AA
3487,ASHLAND INC.,1674862,CIK0001674862,ASH
3488,"AMERICAN WATER WORKS COMPANY, INC.",1410636,CIK0001410636,AWK
3489,"Unity Biotechnology, Inc.",1463361,CIK0001463361,UBX
3490,Nomad Royalty Co Ltd.,813639,CIK0000813639,NSRWF
3491,"LESAKA TECHNOLOGIES, INC.",1041514,CIK0001041514,LSAK
3492,"Perspective Therapeutics, Inc.",728387,CIK0000728387,ISR
3493,Comerica Incorporated,28412,CIK0000028412,CMA
3494,"Genprex, Inc.",1595248,CIK0001595248,GNPX
3495,HUB Cyber Security Ltd.,0001905660,CIK0001905660,HUBC
3496,BOEING CO,12927,CIK0000012927,BA
3497,AMERICAN TOWER CORPORATION,1053507,CIK0001053507,AMT
3498,HireRight Holdings Corp,1859285,CIK0001859285,HRT
3499,"DOMO, INC.",1505952,CIK0001505952,DOMO
3500,UMB FINANCIAL CORP,101382,CIK0000101382,UMBF
3501,"Macy's, Inc.",794367,CIK0000794367,M
3502,"BROWNIE’S MARINE GROUP, INC.",1166708,CIK0001166708,BWMG
3503,EMERSON RADIO CORP,32621,CIK0000032621,MSN
3504,"DERMATA THERAPEUTICS, INC.",1853816,CIK0001853816,DRMAW
3505,"EVIO, INC.",715788,CIK0000715788,EVIO
3506,OCEANEERING INTERNATIONAL INC,73756,CIK0000073756,OII
3507,PACCAR Inc,75362,CIK0000075362,PCAR
3508,"WIRELESS TELECOM GROUP, INC.",878828,CIK0000878828,WTT
3509,COSMOS HEALTH INC.,1474167,CIK0001474167,COSM
3510,TENET HEALTHCARE CORP,70318,CIK0000070318,THC
3511,"HIBBETT, INC.",1017480,CIK0001017480,HIBB
3512,B2Gold Corp.,1429937,CIK0001429937,BTG
3513,YATERRA VENTURES CORP.,1406588,CIK0001406588,MNGG
3514,FATHOM HOLDINGS INC.,1753162,CIK0001753162,FTHM
3515,"CHINA CARBON GRAPHITE GROUP, INC.",1284450,CIK0001284450,CHGI
3516,,0001682811,CIK0001682811,IHIT
3517,SCHLUMBERGER LIMITED/NV,87347,CIK0000087347,SLB
3518,Stratos     Renewables Corporation,0001321517,CIK0001321517,SRNW
3519,"VIASAT, INC.",797721,CIK0000797721,VSAT
3520,HIVE BLOCKCHAIN TECHNOLOGIES LTD.,1720424,CIK0001720424,HIVE
3521,FORTUNA SILVER MINES INC,1341335,CIK0001341335,FSM
3522,"GLOBAL INNOVATIVE PLATFORMS, INC.",1837774,CIK0001837774,GIPL
3523,FANG HOLDINGS LTD,1294404,CIK0001294404,SFUNY
3524,RH,1528849,CIK0001528849,RH
3525,Gold Standard Ventures Corp.,1321847,CIK0001321847,GSV
3526,"MOLINA HEALTHCARE, INC.",1179929,CIK0001179929,MOH
3527,"Assurant, Inc.",1267238,CIK0001267238,AIZN
3528,"RUBIUS THERAPEUTICS, INC.",1709401,CIK0001709401,RUBY
3529,Medicale Corp.,1827855,CIK0001827855,MCLE
3530,TOYOTA MOTOR CORP/,1094517,CIK0001094517,TOYOF
3531,Brunswick Corporation,14930,CIK0000014930,BC
3532,"NEW ASIA HOLDINGS, INC.",1485029,CIK0001485029,NAHD
3533,"Fidelity National Information Services, Inc.",1136893,CIK0001136893,FIS
3534,MP Materials Corp. / DE,1801368,CIK0001801368,MP
3535,GENELUX CORPORATION,0001231457,CIK0001231457,GNLX
3536,OMNIA WELLNESS INC,1676852,CIK0001676852,OMWS
3537,ASSURE HOLDINGS CORP.,1798270,CIK0001798270,IONM
3538,"Colambda Technologies, Inc.",1104462,CIK0001104462,NCRE
3539,"SHIFTPIXY, INC.",1675634,CIK0001675634,PIXY
3540,BUILD ACQUISITION CORP.,1838666,CIK0001838666,BGSX
3541,"PCTEL, Inc.",1057083,CIK0001057083,PCTI
3542,"DATA CALL TECHNOLOGIES, INC.",1321828,CIK0001321828,DCLT
3543,"Near Intelligence, Inc.",1826671,CIK0001826671,INKAW
3544,Soho House & Co Inc.,1846510,CIK0001846510,MCG
3545,SMARTFINANCIAL INC.,1038773,CIK0001038773,SMBK
3546,Uranium Royalty Corp.,1711570,CIK0001711570,UROY
3547,Prenetics Global Limited,0001876431,CIK0001876431,PRENW
3548,iClick Interactive Asia Group Limited,1697818,CIK0001697818,ICLK
3549,"ARCELLX, INC.",0001786205,CIK0001786205,ACLX
3550,Meiwu Technology Co. Ltd.,1787803,CIK0001787803,WNW
3551,"BAIN CAPITAL SPECIALTY FINANCE, INC.",0001655050,CIK0001655050,BCSF
3552,KEY ENERGY SERVICES INC,318996,CIK0000318996,KEGX
3553,"B. RILEY FINANCIAL, INC.",1464790,CIK0001464790,RILYZ
3554,"GIBRALTAR INDUSTRIES, INC.",912562,CIK0000912562,ROCK
3555,,0000880406,CIK0000880406,CUBA
3556,"KNOWBE4, INC.",1664998,CIK0001664998,KNBE
3557,EBIX INC,814549,CIK0000814549,EBIX
3558,,0001058239,CIK0001058239,HIX
3559,ASHFORD INC.,1604738,CIK0001604738,AINC
3560,"Guerrilla RF, Inc.",1832487,CIK0001832487,GUER
3561,"Palomar Holdings, Inc.",1761312,CIK0001761312,PLMR
3562,"PayPal Holdings, Inc.",1633917,CIK0001633917,PYPL
3563,"HAVERTY FURNITURE COMPANIES, INC",216085,CIK0000216085,HVT
3564,Minority Equality Opportunities Acquisition Inc.,1859310,CIK0001859310,MEOAW
3565,"CONCRETE PUMPING HOLDINGS, INC.",1703956,CIK0001703956,BBCPW
3566,LUNA INNOVATIONS INC,1239819,CIK0001239819,LUNA
3567,"T-MOBILE US, INC.",1283699,CIK0001283699,TMUS
3568,Just Energy Group Inc.,1538789,CIK0001538789,JENGQ
3569,,0000879535,CIK0000879535,DTF
3570,SCIENJOY HOLDING CORPORATION,1753673,CIK0001753673,SJ
3571,"EXELIXIS, INC.",939767,CIK0000939767,EXEL
3572,WELLTOWER INC.,766704,CIK0000766704,WELL
3573,"The Goldman Sachs Group, Inc.",886982,CIK0000886982,GSCE
3574,"Ontrak, Inc.",1136174,CIK0001136174,OTRKP
3575,Kraft Heinz Co,1637459,CIK0001637459,KHC
3576,CITIZENS FINANCIAL GROUP INC/RI,759944,CIK0000759944,CFG
3577,TSAKOS ENERGY NAVIGATION LIMITED,1166663,CIK0001166663,TNP
3578,"KAT EXPLORATION, INC.",0001474558,CIK0001474558,KATX
3579,MONOLITHIC POWER SYSTEMS INC,1280452,CIK0001280452,MPWR
3580,,0000901243,CIK0000901243,MUA
3581,EpicQuest Education Group International Limited,0001781397,CIK0001781397,EEIQ
3582,"MiNK Therapeutics, Inc.",1840229,CIK0001840229,INKT
3583,SELINA HOSPITALITY PLC,0001909417,CIK0001909417,SLNA
3584,AMERICAN SUPERCONDUCTOR CORP /DE/,880807,CIK0000880807,AMSC
3585,PHX MINERALS INC.,315131,CIK0000315131,PHX
3586,B COMMUNICATIONS LTD,1402606,CIK0001402606,BCOMF
3587,BROADSCALE ACQUISITION CORP.,1838697,CIK0001838697,SCLEW
3588,HENNESSY CAPITAL INVESTMENT CORP. V,1829455,CIK0001829455,HCICW
3589,Future FinTech Group Inc.,1066923,CIK0001066923,FTFT
3590,"SUTRO BIOPHARMA, INC.",1382101,CIK0001382101,STRO
3591,"GREENWAY TECHNOLOGIES, INC. AND SUBSIDIARIES",1572386,CIK0001572386,GWTI
3592,"Corebridge Financial, Inc.",0001889539,CIK0001889539,CRBG
3593,"ATI Physical Therapy, Inc.",1815849,CIK0001815849,ATIP
3594,"IRONSTONE PROPERTIES, INC.",723269,CIK0000723269,IRNS
3595,,0001790177,CIK0001790177,RFM
3596,"SOUTHERN ITS INTERNATIONAL, INC.",0001468978,CIK0001468978,SITS
3597,"Karuna Therapeutics, Inc.",1771917,CIK0001771917,KRTX
3598,"ESS Tech, Inc.",1819438,CIK0001819438,GWH
3599,DEERE & CO,315189,CIK0000315189,DE
3600,WEWORK INC.,1813756,CIK0001813756,WE
3601,IDEX Biometrics ASA,1824036,CIK0001824036,IDBA
3602,"AEROVATE THERAPEUTICS, INC.",1798749,CIK0001798749,AVTE
3603,"i3 Verticals, Inc.",1728688,CIK0001728688,IIIV
3604,"Coherus BioSciences, Inc.",1512762,CIK0001512762,CHRS
3605,ADVANTEST CORP,1158838,CIK0001158838,ADTTF
3606,"RCMW Group, Inc.",1797956,CIK0001797956,RCMW
3607,VALENS SEMICONDUCTOR LTD.,0001863006,CIK0001863006,VLN
3608,"Zero Gravity Solutions, Inc.",1574186,CIK0001574186,ZGSI
3609,"MFA FINANCIAL, INC.",1055160,CIK0001055160,MFA
3610,"Blackbaud, Inc.",1280058,CIK0001280058,BLKB
3611,Silence Therapeutics plc,1479615,CIK0001479615,SLNCF
3612,AVINO SILVER & GOLD MINES LTD.,316888,CIK0000316888,ASM
3613,"ADHERA THERAPEUTICS, INC.",737207,CIK0000737207,ATRX
3614,TURQUOISE HILL RESOURCES LTD.,1158041,CIK0001158041,TRQ
3615,Compugen Ltd,1119774,CIK0001119774,CGEN
3616,"STONERIDGE, INC",1043337,CIK0001043337,SRI
3617,ESGEN Acquisition Corporation,1865506,CIK0001865506,ESACW
3618,"Revance Therapeutics, Inc.",1479290,CIK0001479290,RVNC
3619,"SUNSTOCK, INC.",1559157,CIK0001559157,SSOK
3620,"PLASTEC TECHNOLOGIES, LTD.",1433309,CIK0001433309,PLTYF
3621,"Steel Dynamics, Inc",1022671,CIK0001022671,STLD
3622,"HAYNES INTERNATIONAL, INC.",858655,CIK0000858655,HAYN
3623,"PERK INTERNATIONAL, INC.",1579717,CIK0001579717,PRKI
3624,"IDW MEDIA HOLDINGS, INC.",1463833,CIK0001463833,IDW
3625,"ARVINAS, INC.",1655759,CIK0001655759,ARVN
3626,"OMNICELL, INC",926326,CIK0000926326,OMCL
3627,"Carlyle Secured Lending, Inc.",0001544206,CIK0001544206,CGBD
3628,Aurora Mobile Limited,1737339,CIK0001737339,JG
3629,TODOS MEDICAL LTD.,1645260,CIK0001645260,TOMDF
3630,"REBORN COFFEE, INC.",1707910,CIK0001707910,REBN
3631,"Domino’s Pizza, Inc.",1286681,CIK0001286681,DPZ
3632,National Beverage Corp.,69891,CIK0000069891,FIZZ
3633,Tengjun Biotechnology Corp.,1499785,CIK0001499785,TJBH
3634,Microalliance Group Inc.,1309251,CIK0001309251,FHAI
3635,"CASS INFORMATION SYSTEMS, INC.",708781,CIK0000708781,CASS
3636,WILLIS LEASE FINANCE CORP,1018164,CIK0001018164,WLFC
3637,"PC CONNECTION, INC.",1050377,CIK0001050377,CNXN
3638,"ENTRADA THERAPEUTICS, INC.",1689375,CIK0001689375,TRDA
3639,"Infrastructure & Energy Alternatives, Inc.",1652362,CIK0001652362,IEAWW
3640,"AptarGroup, Inc.",896622,CIK0000896622,ATR
3641,"CSG SYSTEMS INTERNATIONAL, INC.",1005757,CIK0001005757,CSGS
3642,ELECTRAMECCANICA VEHICLES CORP.,1637736,CIK0001637736,SOLOW
3643,KID CASTLE EDUCATIONAL CORPORATION,1049011,CIK0001049011,KDCE
3644,"ECB Bancorp, Inc.",0001914605,CIK0001914605,ECBK
3645,LIBERTY MEDIA ACQUISITION CORPORATION,1831992,CIK0001831992,LMACW
3646,EMBRAER S.A.,1355444,CIK0001355444,ERJ
3647,OceanFirst Financial Corp.,1004702,CIK0001004702,OCFCP
3648,SVB FINANCIAL GROUP,719739,CIK0000719739,SIVBP
3649,"CFSB Bancorp, Inc.",0001879103,CIK0001879103,CFSB
3650,"Paychex, Inc.",723531,CIK0000723531,PAYX
3651,"Zoom Video Communications, Inc.",1585521,CIK0001585521,ZM
3652,SiTime Corporation,1451809,CIK0001451809,SITM
3653,"AST SPACEMOBILE, INC.",1780312,CIK0001780312,ASTSW
3654,"Stronghold Digital Mining, Inc.",1856028,CIK0001856028,SDIG
3655,"CYCLO THERAPEUTICS, INC",922247,CIK0000922247,CYTH
3656,Tech and Energy Transition Corporation,1840920,CIK0001840920,TETCW
3657,Rare Element Resources Ltd,1419806,CIK0001419806,REEMF
3658,"Esquire Financial Holdings, Inc.",1531031,CIK0001531031,ESQ
3659,"CAPRICOR THERAPEUTICS, INC.",1133869,CIK0001133869,CAPR
3660,"OMEGA HEALTHCARE INVESTORS, INC.",888491,CIK0000888491,OHI
3661,JX LUXVENTURE LIMITED,1546383,CIK0001546383,LLL
3662,Fisker Inc./DE,1720990,CIK0001720990,FSR
3663,"Strategic Education, Inc.",1013934,CIK0001013934,STRA
3664,,0000846671,CIK0000846671,VLT
3665,LIQUIDIA CORPORATION,1819576,CIK0001819576,LQDA
3666,SENTIENT BRANDS HOLDINGS INC.,1358633,CIK0001358633,SNBH
3667,CHESAPEAKE ENERGY CORPORATION,895126,CIK0000895126,CHKEZ
3668,,0000885732,CIK0000885732,NXC
3669,Siyata Mobile Inc.,1649009,CIK0001649009,SYTAW
3670,AMREP CORP.,6207,CIK0000006207,AXR
3671,WEYERHAEUSER COMPANY,106535,CIK0000106535,WY
3672,"Synaptogenix, Inc.",1571934,CIK0001571934,SNPX
3673,"CymaBay Therapeutics, Inc.",1042074,CIK0001042074,CBAY
3674,"UNIVERSAL HEALTH SERVICES, INC.",352915,CIK0000352915,UHID
3675,"111, Inc.",1738906,CIK0001738906,YI
3676,"Axonics, Inc.",1603756,CIK0001603756,AXNX
3677,"AADI BIOSCIENCE, INC.",1422142,CIK0001422142,AADI
3678,CIPHER MINING INC.,1819989,CIK0001819989,CIFRW
3679,"TruGolf Holdings, Inc.",1857086,CIK0001857086,DMAQR
3680,,0001478888,CIK0001478888,NBB
3681,BioPlus Acquisition Corp.,0001856653,CIK0001856653,BIOSW
3682,"Collegium Pharmaceutical, Inc.",1267565,CIK0001267565,COLL
3683,"NMI Holdings, Inc.",1547903,CIK0001547903,NMIH
3684,"CEREVEL THERAPEUTICS HOLDINGS, INC.",1805387,CIK0001805387,CERE
3685,STEWART INFORMATION SERVICES CORP,94344,CIK0000094344,STC
3686,FS KKR Capital Corp.,0001422183,CIK0001422183,FSK
3687,LVPAI GROUP LIMITED,831378,CIK0000831378,LVPA
3688,"APOLLO ENDOSURGERY, INC.",1251769,CIK0001251769,APEN
3689,GRUPO FINANCIERO GALICIA SA,1114700,CIK0001114700,GGAL
3690,NATIONAL INSTRUMENTS CORP,935494,CIK0000935494,NATI
3691,"Sterling Bancorp, Inc.",1680379,CIK0001680379,SBT
3692,TELUS CORP,868675,CIK0000868675,TU
3693,"CREATIONS, INC.",1795938,CIK0001795938,CEAI
3694,,0001865389,CIK0001865389,NPFD
3695,URSTADT BIDDLE PROPERTIES INC,1029800,CIK0001029800,UBA
3696,"EXICURE, INC.",1698530,CIK0001698530,XCUR
3697,CETUS CAPITAL ACQUISITION CORP.,0001936702,CIK0001936702,CETS
3698,Evergreen Corporation,0001900402,CIK0001900402,EVGRU
3699,EURO TECH HOLDINGS COMPANY LIMITED,1026662,CIK0001026662,CLWT
3700,CSP Inc,356037,CIK0000356037,CSPI
3701,"SUGARMADE,     INC.",919175,CIK0000919175,SGMD
3702,"Mama’s Creations, Inc.",1520358,CIK0001520358,MMMB
3703,"GREEN STREAM HOLDINGS, INC.",1437476,CIK0001437476,GSFI
3704,VIRTUAL INTERACTIVE TECHNOLOGIES CORP.,1536089,CIK0001536089,VRVR
