,industry,industry_Disp,indistry_map_dic,sector,sectorKey,sectorDisp
TXMD,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
GSAT,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
PAAS,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
PEGA,Software - Application,Software - Application,software-application,Technology,technology,Technology
INST,Software - Application,Software - Application,software-application,Technology,technology,Technology
GTES,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
ASMVY,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
DY,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
WSFS,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
BRZE,Software - Application,Software - Application,software-application,Technology,technology,Technology
FRHC,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
CATY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
FHI,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
AUR,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
HASI,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
ZWS,Pollution & Treatment Controls,Pollution & Treatment Controls,pollution-treatment-controls,Industrials,industrials,Industrials
FUL,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
BANF,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
UNF,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
RARE,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
CPA,Airlines,Airlines,airlines,Industrials,industrials,Industrials
AWR,Utilities - Regulated Water,Utilities - Regulated Water,utilities-regulated-water,Utilities,utilities,Utilities
CWK,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
GLPG,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
BOH,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
PFSI,Mortgage Finance,Mortgage Finance,mortgage-finance,Financial Services,financial-services,Financial Services
DUFRY,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
EGFEY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
GEF,Packaging & Containers,Packaging & Containers,packaging-containers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SQSP,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
ARLP,Thermal Coal,Thermal Coal,thermal-coal,Energy,energy,Energy
EQC,REIT - Office,REIT - Office,reit-office,Real Estate,real-estate,Real Estate
AEIS,Electrical Equipment & Parts,Electrical Equipment & Parts,electrical-equipment-parts,Industrials,industrials,Industrials
SRAD,Software - Application,Software - Application,software-application,Technology,technology,Technology
ASB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
MNMD,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
SAUHY,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
PTEN,Oil & Gas Drilling,Oil & Gas Drilling,oil-gas-drilling,Energy,energy,Energy
WD,Mortgage Finance,Mortgage Finance,mortgage-finance,Financial Services,financial-services,Financial Services
EPR,REIT - Specialty,REIT - Specialty,reit-specialty,Real Estate,real-estate,Real Estate
TCBI,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
MRVI,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
AVAL,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
CWT,Utilities - Regulated Water,Utilities - Regulated Water,utilities-regulated-water,Utilities,utilities,Utilities
SXT,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
VSBC,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
YETI,Leisure,Leisure,leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
NEU,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
SBRA,REIT - Healthcare Facilities,REIT - Healthcare Facilities,reit-healthcare-facilities,Real Estate,real-estate,Real Estate
NOVA,Solar,Solar,solar,Technology,technology,Technology
SFM,Grocery Stores,Grocery Stores,grocery-stores,Consumer Defensive,consumer-defensive,Consumer Defensive
ADNT,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
HIW,REIT - Office,REIT - Office,reit-office,Real Estate,real-estate,Real Estate
VRNS,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
ALE,Utilities - Diversified,Utilities - Diversified,utilities-diversified,Utilities,utilities,Utilities
NOMD,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
PPBI,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
ABCL,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
NNI,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
JXN,Insurance - Life,Insurance - Life,insurance-life,Financial Services,financial-services,Financial Services
PCH,REIT - Specialty,REIT - Specialty,reit-specialty,Real Estate,real-estate,Real Estate
SIG,Luxury Goods,Luxury Goods,luxury-goods,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SLG,REIT - Office,REIT - Office,reit-office,Real Estate,real-estate,Real Estate
KOS,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
CRI,Apparel Retail,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
FOLD,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
BNL,REIT - Diversified,REIT - Diversified,reit-diversified,Real Estate,real-estate,Real Estate
RPD,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
AAON,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
SANM,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
LIVN,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
HBI,Apparel Manufacturing,Apparel Manufacturing,apparel-manufacturing,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
IIJIY,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
BZZUY,Building Materials,Building Materials,building-materials,Basic Materials,basic-materials,Basic Materials
ALHC,Healthcare Plans,Healthcare Plans,healthcare-plans,Healthcare,healthcare,Healthcare
KMPR,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
GLNG,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
DELKY,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
CVI,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,Energy
KWR,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
FBP,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
DIOD,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
JBT,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
SKY,Residential Construction,Residential Construction,residential-construction,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
VSCO,Apparel Retail,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
NWE,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
SMG,Agricultural Inputs,Agricultural Inputs,agricultural-inputs,Basic Materials,basic-materials,Basic Materials
ACAD,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
MATX,Marine Shipping,Marine Shipping,marine-shipping,Industrials,industrials,Industrials
STNE,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
JWN,Department Stores,Department Stores,department-stores,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CORT,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
BOWL,Leisure,Leisure,leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
OTTR,Utilities - Diversified,Utilities - Diversified,utilities-diversified,Utilities,utilities,Utilities
PZZA,Restaurants,Restaurants,restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
REZI,Security & Protection Services,Security & Protection Services,security-protection-services,Industrials,industrials,Industrials
BDC,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
IBTX,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
GPI,Auto & Truck Dealerships,Auto & Truck Dealerships,auto-truck-dealerships,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
PSEC,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
EYE,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MCW,Personal Services,Personal Services,personal-services,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
HI,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
SSRM,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
CWAN,Software - Application,Software - Application,software-application,Technology,technology,Technology
NSIT,Electronics & Computer Distribution,Electronics & Computer Distribution,electronics-computer-distribution,Technology,technology,Technology
TAIPY,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
INSM,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
TMHC,Residential Construction,Residential Construction,residential-construction,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ULCC,Airlines,Airlines,airlines,Industrials,industrials,Industrials
PEGRY,Utilities - Regulated Water,Utilities - Regulated Water,utilities-regulated-water,Utilities,utilities,Utilities
SMPL,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
NHI,REIT - Healthcare Facilities,REIT - Healthcare Facilities,reit-healthcare-facilities,Real Estate,real-estate,Real Estate
AVA,Utilities - Diversified,Utilities - Diversified,utilities-diversified,Utilities,utilities,Utilities
LSPD,Software - Application,Software - Application,software-application,Technology,technology,Technology
XRX,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
LCII,Recreational Vehicles,Recreational Vehicles,recreational-vehicles,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
VICR,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
TCN,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
NVG,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
IMPJY,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
AZEK,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
JBGS,REIT - Office,REIT - Office,reit-office,Real Estate,real-estate,Real Estate
CALM,Farm Products,Farm Products,farm-products,Consumer Defensive,consumer-defensive,Consumer Defensive
ONB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
OMAB,Airports & Air Services,Airports & Air Services,airports-air-services,Industrials,industrials,Industrials
SPR,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
TKC,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
RNW,Utilities - Renewable,Utilities - Renewable,utilities-renewable,Utilities,utilities,Utilities
AGI,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
MLCO,Resorts & Casinos,Resorts & Casinos,resorts-casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
VSAT,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
XMTR,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
ABM,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
JKS,Solar,Solar,solar,Technology,technology,Technology
MAIN,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
JAMF,Software - Application,Software - Application,software-application,Technology,technology,Technology
GHC,Education & Training Services,Education & Training Services,education-training-services,Consumer Defensive,consumer-defensive,Consumer Defensive
NAD,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
KFY,Staffing & Employment Services,Staffing & Employment Services,staffing-employment-services,Industrials,industrials,Industrials
LXP,REIT - Industrial,REIT - Industrial,reit-industrial,Real Estate,real-estate,Real Estate
ACA,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
BTU,Thermal Coal,Thermal Coal,thermal-coal,Energy,energy,Energy
RMBS,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
BHC,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
ENV,Software - Application,Software - Application,software-application,Technology,technology,Technology
CXM,Software - Application,Software - Application,software-application,Technology,technology,Technology
AIN,Textile Manufacturing,Textile Manufacturing,textile-manufacturing,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
UGP,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,Energy
VSH,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
RLAY,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
MGEE,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
CNMD,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
SGML,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining,Basic Materials,basic-materials,Basic Materials
MC,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
IBOC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
NVMI,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
MTH,Residential Construction,Residential Construction,residential-construction,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
BMI,Scientific & Technical Instruments,Scientific & Technical Instruments,scientific-technical-instruments,Technology,technology,Technology
CRVL,Insurance Brokers,Insurance Brokers,insurance-brokers,Financial Services,financial-services,Financial Services
SFNC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
DORM,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
LBRT,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
HELE,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
TRUP,Insurance - Specialty,Insurance - Specialty,insurance-specialty,Financial Services,financial-services,Financial Services
MRCY,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
MNTK,Utilities - Diversified,Utilities - Diversified,utilities-diversified,Utilities,utilities,Utilities
GKOS,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
FLYW,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
OUT,REIT - Specialty,REIT - Specialty,reit-specialty,Real Estate,real-estate,Real Estate
SITC,REIT - Retail,REIT - Retail,reit-retail,Real Estate,real-estate,Real Estate
JJSF,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
VIR,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
NGVT,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
MXL,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
WERN,Trucking,Trucking,trucking,Industrials,industrials,Industrials
IQ,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
ACIW,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
HLF,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
FULT,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
EPRT,REIT - Diversified,REIT - Diversified,reit-diversified,Real Estate,real-estate,Real Estate
ENS,Electrical Equipment & Parts,Electrical Equipment & Parts,electrical-equipment-parts,Industrials,industrials,Industrials
HRMY,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
FRO,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
BCO,Security & Protection Services,Security & Protection Services,security-protection-services,Industrials,industrials,Industrials
YPF,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
HPK,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
SGRY,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
ROOT,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
STNG,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
GGAL,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
UILCY,Real Estate - Diversified,Real Estate - Diversified,real-estate-diversified,Real Estate,real-estate,Real Estate
HUBG,Integrated Freight & Logistics,Integrated Freight & Logistics,integrated-freight-logistics,Industrials,industrials,Industrials
MEOH,Chemicals,Chemicals,chemicals,Basic Materials,basic-materials,Basic Materials
GDRX,Health Information Services,Health Information Services,health-information-services,Healthcare,healthcare,Healthcare
FIBK,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
FWRD,Integrated Freight & Logistics,Integrated Freight & Logistics,integrated-freight-logistics,Industrials,industrials,Industrials
SPXC,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
HLNE,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
ARVN,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
FATE,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
SHLS,Solar,Solar,solar,Technology,technology,Technology
WDFC,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
PDCO,Medical Distribution,Medical Distribution,medical-distribution,Healthcare,healthcare,Healthcare
VRRM,Infrastructure Operations,Infrastructure Operations,infrastructure-operations,Industrials,industrials,Industrials
CBRL,Restaurants,Restaurants,restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
JBLU,Airlines,Airlines,airlines,Industrials,industrials,Industrials
YELP,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
WOR,Metal Fabrication,Metal Fabrication,metal-fabrication,Industrials,industrials,Industrials
OPEN,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
PBH,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
KLIC,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
CCOI,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
IBRX,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
DKL,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,Energy
AUB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
PLXS,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
WHD,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
LESL,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
AHCO,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
VIRT,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
VNOM,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
RUSHA,Auto & Truck Dealerships,Auto & Truck Dealerships,auto-truck-dealerships,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SAVE,Airlines,Airlines,airlines,Industrials,industrials,Industrials
MOG-A,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
FUN,Leisure,Leisure,leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
NOG,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
INMD,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
PAGP,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
GTBIF,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
IFS,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
EXG,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
IBP,Residential Construction,Residential Construction,residential-construction,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SAGE,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
MGPI,Beverages - Wineries & Distilleries,Beverages - Wineries & Distilleries,beverages-wineries-distilleries,Consumer Defensive,consumer-defensive,Consumer Defensive
AMR,Coking Coal,Coking Coal,coking-coal,Basic Materials,basic-materials,Basic Materials
SFRGY,Luxury Goods,Luxury Goods,luxury-goods,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
KW,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
VRNT,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
TAC,Utilities - Independent Power Producers,Utilities - Independent Power Producers,utilities-independent-power-producers,Utilities,utilities,Utilities
SIMO,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
NVAX,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
STEM,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
UNFI,Food Distribution,Food Distribution,food-distribution,Consumer Defensive,consumer-defensive,Consumer Defensive
UTF,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
THS,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
BLKB,Software - Application,Software - Application,software-application,Technology,technology,Technology
ALBKY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
SHO,REIT - Hotel & Motel,REIT - Hotel & Motel,reit-hotel-motel,Real Estate,real-estate,Real Estate
IPAR,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
MSTR,Software - Application,Software - Application,software-application,Technology,technology,Technology
ARRY,Solar,Solar,solar,Technology,technology,Technology
AX,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
EVTC,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
NTCT,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
KBH,Residential Construction,Residential Construction,residential-construction,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CSIQ,Solar,Solar,solar,Technology,technology,Technology
WIRE,Electrical Equipment & Parts,Electrical Equipment & Parts,electrical-equipment-parts,Industrials,industrials,Industrials
PCRX,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
COMM,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
AMBA,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
COLB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
ENIC,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
ROIV,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
CERT,Health Information Services,Health Information Services,health-information-services,Healthcare,healthcare,Healthcare
RRR,Resorts & Casinos,Resorts & Casinos,resorts-casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
KD,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
HAYW,Electrical Equipment & Parts,Electrical Equipment & Parts,electrical-equipment-parts,Industrials,industrials,Industrials
FSS,Pollution & Treatment Controls,Pollution & Treatment Controls,pollution-treatment-controls,Industrials,industrials,Industrials
WFRD,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
LTH,Leisure,Leisure,leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SHOO,Footwear & Accessories,Footwear & Accessories,footwear-accessories,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MANU,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
CNO,Insurance - Life,Insurance - Life,insurance-life,Financial Services,financial-services,Financial Services
CLBK,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
AVAV,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
TEX,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
THNPY,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
USM,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
PI,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
AXSM,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
CVLT,Software - Application,Software - Application,software-application,Technology,technology,Technology
BPXXY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
BCC,Building Materials,Building Materials,building-materials,Basic Materials,basic-materials,Basic Materials
PEB,REIT - Hotel & Motel,REIT - Hotel & Motel,reit-hotel-motel,Real Estate,real-estate,Real Estate
GBDC,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
BCRX,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
TR,Confectioners,Confectioners,confectioners,Consumer Defensive,consumer-defensive,Consumer Defensive
NAVI,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
TTEC,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
AGTI,Health Information Services,Health Information Services,health-information-services,Healthcare,healthcare,Healthcare
RKLB,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
EVCM,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
TRN,Railroads,Railroads,railroads,Industrials,industrials,Industrials
BRFS,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
CBZ,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
LGF-A,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
WSBC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
CEIX,Thermal Coal,Thermal Coal,thermal-coal,Energy,energy,Energy
